HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Simple Assault,Open,2021-11-17,Metro
Simple Assault,Open,2024-09-18,Providence
Simple Assault,Exceptionally Cleared,2017-06-02,Central
Simple Assault,Open,2021-10-30,Central
Simple Assault,Cleared by Arrest,2019-02-03,Metro
Intimidation,Exceptionally Cleared,2023-04-01,Metro
Simple Assault,Cleared by Arrest,2018-06-08,Hickory Grove
Intimidation,Cleared by Arrest,2020-03-16,Westover
Intimidation,Cleared by Arrest,2018-03-23,Hickory Grove
Simple Assault,Cleared by Arrest,2017-02-14,University City
Simple Assault,Open,2024-09-14,Hickory Grove
Simple Assault,Exceptionally Cleared,2024-07-08,Independence
Simple Assault,Open,2020-06-08,Hickory Grove
Simple Assault,Open,2022-01-03,Metro
Simple Assault,Exceptionally Cleared,2020-11-02,Providence
Intimidation,Exceptionally Cleared,2023-02-21,Steele Creek
Simple Assault,Open,2020-02-16,Steele Creek
Intimidation,Exceptionally Cleared,2021-05-17,Hickory Grove
Simple Assault,Cleared by Arrest,2020-06-25,Providence
Intimidation,Open,2018-04-18,Hickory Grove
Simple Assault,Exceptionally Cleared,2020-02-15,North
Simple Assault,Cleared by Arrest,2020-04-27,North Tryon
Intimidation,Open,2023-05-30,Providence
Simple Assault,Cleared by Arrest,2018-12-07,North
Intimidation,Open,2022-02-13,University City
Simple Assault,Cleared by Arrest,2023-03-01,University City
Intimidation,Open,2021-04-13,Westover
Simple Assault,Open,2024-06-25,Independence
Intimidation,Open,2019-01-24,Steele Creek
Simple Assault,Open,2018-10-21,North Tryon
Simple Assault,Exceptionally Cleared,2019-05-18,North Tryon
Simple Assault,Open,2019-03-10,North Tryon
Simple Assault,Open,2022-02-10,University City
Simple Assault,Cleared by Arrest,2018-09-29,Central
Intimidation,Open,2019-08-29,Westover
Simple Assault,Open,2018-05-31,Independence
Simple Assault,Exceptionally Cleared,2022-05-06,Hickory Grove
Simple Assault,Open,2020-11-06,Central
Intimidation,Open,2024-04-19,Westover
Intimidation,Open,2021-02-25,University City
Simple Assault,Cleared by Arrest,2023-03-23,Freedom
Intimidation,Open,2020-11-10,North Tryon
Intimidation,Open,2023-03-22,North
Simple Assault,Cleared by Arrest,2022-01-04,University City
Simple Assault,Open,2022-01-04,Hickory Grove
Simple Assault,Open,2024-02-01,Steele Creek
Simple Assault,Open,2017-06-03,North Tryon
Simple Assault,Cleared by Arrest,2024-11-12,North
Simple Assault,Open,2017-01-05,Steele Creek
Simple Assault,Cleared by Arrest,2020-12-27,Westover
Simple Assault,Exceptionally Cleared,2020-05-07,Steele Creek
Intimidation,Open,2023-05-07,Freedom
Intimidation,Open,2019-04-06,Steele Creek
Simple Assault,Cleared by Arrest,2019-03-20,Metro
Simple Assault,Unfounded,2019-04-29,North Tryon
Simple Assault,Exceptionally Cleared,2021-01-24,University City
Simple Assault,Open,2018-03-05,University City
Simple Assault,Open,2017-08-17,Westover
Simple Assault,Cleared by Arrest,2024-10-28,Providence
Simple Assault,Exceptionally Cleared,2023-05-31,South
Simple Assault,Exceptionally Cleared,2022-07-12,North Tryon
Simple Assault,Exceptionally Cleared,2020-07-26,Providence
Simple Assault,Cleared by Arrest,2017-04-20,Westover
Intimidation,Exceptionally Cleared,2019-11-04,North Tryon
Simple Assault,Unfounded,2020-11-12,Metro
Simple Assault,Open,2022-03-15,Hickory Grove
Simple Assault,Cleared by Arrest,2017-09-19,Hickory Grove
Simple Assault,Open,2017-10-17,Metro
Simple Assault,Open,2021-12-24,Westover
Simple Assault,Cleared by Arrest,2022-07-10,Independence
Simple Assault,Cleared by Arrest,2018-11-18,Metro
Simple Assault,Open,2022-11-21,Hickory Grove
Simple Assault,Exceptionally Cleared,2023-06-25,University City
Simple Assault,Open,2023-02-14,Steele Creek
Simple Assault,Cleared by Arrest,2021-05-13,Independence
Simple Assault,Cleared by Arrest,2017-05-11,Providence
Simple Assault,Open,2024-05-04,North
Simple Assault,Exceptionally Cleared,2022-06-20,Providence
Intimidation,Open,2021-01-22,Hickory Grove
Simple Assault,Cleared by Arrest,2021-12-11,Westover
Simple Assault,Open,2019-12-09,Westover
Simple Assault,Open,2024-10-12,Freedom
Simple Assault,Exceptionally Cleared,2022-08-22,Central
Intimidation,Open,2022-10-26,Westover
Simple Assault,Cleared by Arrest,2018-05-26,North Tryon
Intimidation,Open,2023-05-05,North
Simple Assault,Open,2017-01-01,Central
Simple Assault,Cleared by Arrest,2019-10-06,North Tryon
Simple Assault,Cleared by Arrest,2019-05-26,Providence
Simple Assault,Open,2023-12-26,Westover
Simple Assault,Exceptionally Cleared,2022-01-14,Steele Creek
Simple Assault,Open,2019-05-30,Central
Simple Assault,Exceptionally Cleared,2019-09-11,Westover
Simple Assault,Cleared by Arrest,2018-08-16,North Tryon
Simple Assault,Cleared by Arrest,2017-04-30,Eastway
Intimidation,Cleared by Arrest,2021-01-24,Steele Creek
Simple Assault,Open,2019-02-12,North Tryon
Simple Assault,Open,2023-11-19,North
Simple Assault,Open,2023-05-02,North Tryon
Simple Assault,Cleared by Arrest,2017-12-14,South
Simple Assault,Open,2020-02-26,University City
Simple Assault,Open,2024-02-24,Westover
Simple Assault,Exceptionally Cleared,2020-03-10,Central
Intimidation,Open,2024-10-15,South
Intimidation,Exceptionally Cleared,2020-07-14,North Tryon
Simple Assault,Exceptionally Cleared,2018-01-02,University City
Intimidation,Open,2022-11-05,North
Simple Assault,Exceptionally Cleared,2019-02-27,University City
Intimidation,Exceptionally Cleared,2020-06-04,Westover
Simple Assault,Cleared by Arrest,2018-07-31,Metro
Simple Assault,Open,2023-12-28,Steele Creek
Intimidation,Exceptionally Cleared,2019-07-30,Freedom
Intimidation,Open,2020-06-11,Central
Simple Assault,Open,2021-08-29,Metro
Simple Assault,Cleared by Arrest,2023-07-02,North Tryon
Intimidation,Open,2020-10-22,Steele Creek
Simple Assault,Exceptionally Cleared,2018-03-19,Steele Creek
Simple Assault,Exceptionally Cleared,2017-08-30,Providence
Simple Assault,Open,2023-01-03,North Tryon
Simple Assault,Cleared by Arrest,2017-05-29,Metro
Intimidation,Exceptionally Cleared,2019-07-13,North
Simple Assault,Open,2022-02-22,Steele Creek
Simple Assault,Open,2018-11-14,Metro
Intimidation,Open,2021-06-21,South
Intimidation,Open,2022-06-28,South
Intimidation,Exceptionally Cleared,2018-09-06,University City
Simple Assault,Cleared by Arrest,2017-05-26,Eastway
Simple Assault,Exceptionally Cleared,2022-04-15,Freedom
Simple Assault,Open,2018-04-13,North
Simple Assault,Cleared by Arrest,2024-04-01,Metro
Simple Assault,Open,2022-11-14,Westover
Intimidation,Open,2024-01-14,Hickory Grove
Simple Assault,Cleared by Arrest,2020-01-09,Freedom
Simple Assault,Open,2020-07-20,Central
Simple Assault,Open,2023-12-20,Hickory Grove
Intimidation,Open,2024-10-07,Eastway
Simple Assault,Cleared by Arrest,2019-03-11,Metro
Simple Assault,Exceptionally Cleared,2018-09-21,Metro
Simple Assault,Open,2018-05-05,Steele Creek
Intimidation,Exceptionally Cleared,2022-04-01,Central
Simple Assault,Cleared by Arrest,2019-02-23,Freedom
Simple Assault,Open,2022-03-23,Freedom
Simple Assault,Open,2022-10-13,Hickory Grove
Intimidation,Unfounded,2023-03-11,South
Simple Assault,Cleared by Arrest,2017-05-21,Westover
Simple Assault,Exceptionally Cleared,2017-03-16,Westover
Intimidation,Cleared by Arrest,2017-08-18,Freedom
Simple Assault,Open,2020-06-13,North Tryon
Intimidation,Open,2023-11-27,Independence
Simple Assault,Cleared by Arrest,2019-04-01,Freedom
Intimidation,Open,2017-09-21,North
Intimidation,Open,2023-08-18,Hickory Grove
Intimidation,Open,2020-08-21,Hickory Grove
Simple Assault,Cleared by Arrest,2019-01-03,Metro
Simple Assault,Exceptionally Cleared,2017-02-02,Hickory Grove
Simple Assault,Exceptionally Cleared,2018-11-09,Westover
Intimidation,Open,2018-03-07,Providence
Simple Assault,Open,2023-10-11,North Tryon
Intimidation,Open,2020-06-21,Westover
Intimidation,Exceptionally Cleared,2019-02-07,Steele Creek
Simple Assault,Exceptionally Cleared,2022-06-12,Central
Intimidation,Open,2022-01-18,Independence
Simple Assault,Open,2023-10-28,South
Intimidation,Open,2019-07-31,Airport
Simple Assault,Exceptionally Cleared,2017-09-01,Freedom
Intimidation,Exceptionally Cleared,2017-08-29,South
Intimidation,Open,2022-04-06,South
Intimidation,Cleared by Arrest,2018-01-20,Metro
Simple Assault,Open,2017-05-26,North Tryon
Simple Assault,Exceptionally Cleared,2023-12-02,South
Simple Assault,Exceptionally Cleared,2023-07-31,Eastway
Intimidation,Exceptionally Cleared,2024-02-19,University City
Simple Assault,Cleared by Arrest,2021-12-14,Steele Creek
Simple Assault,Cleared by Arrest,2022-06-12,Central
Simple Assault,Exceptionally Cleared,2018-10-14,South
Simple Assault,Open,2019-09-23,Hickory Grove
Simple Assault,Cleared by Arrest,2018-10-10,Westover
Simple Assault,Exceptionally Cleared,2020-06-02,Independence
Simple Assault,Cleared by Arrest,2017-08-25,Steele Creek
Simple Assault,Open,2022-09-25,Central
Simple Assault,Open,2022-03-09,South
Simple Assault,Exceptionally Cleared,2022-06-05,North Tryon
Simple Assault,Cleared by Arrest,2020-05-20,Freedom
Simple Assault,Exceptionally Cleared,2023-06-30,Hickory Grove
Simple Assault,Cleared by Arrest,2020-08-22,Steele Creek
Simple Assault,Open,2024-01-28,Freedom
Simple Assault,Cleared by Arrest,2019-08-26,North
Simple Assault,Open,2019-10-29,North
Simple Assault,Open,2024-03-20,South
Simple Assault,Exceptionally Cleared,2019-11-10,University City
Intimidation,Open,2017-06-30,Eastway
Simple Assault,Cleared by Arrest,2017-01-30,Metro
Simple Assault,Cleared by Arrest,2021-03-30,University City
Simple Assault,Open,2018-03-24,Steele Creek
Simple Assault,Cleared by Arrest,2018-04-29,Metro
Simple Assault,Open,2021-07-16,North Tryon
Simple Assault,Exceptionally Cleared,2020-05-29,Independence
Simple Assault,Cleared by Arrest,2023-07-28,Independence
Simple Assault,Open,2020-09-24,North
Intimidation,Exceptionally Cleared,2017-02-24,University City
Intimidation,Open,2022-01-06,Steele Creek
Simple Assault,Cleared by Arrest,2019-08-16,University City
Simple Assault,Open,2024-08-28,Providence
Simple Assault,Cleared by Arrest,2024-02-08,Central
Simple Assault,Exceptionally Cleared,2022-01-22,Providence
Simple Assault,Cleared by Arrest,2020-11-07,Central
Intimidation,Cleared by Arrest,2018-08-29,Steele Creek
Simple Assault,Open,2021-04-09,Metro
Intimidation,Open,2018-04-20,University City
Simple Assault,Cleared by Arrest,2021-10-29,Freedom
Simple Assault,Open,2024-02-29,Steele Creek
Intimidation,Exceptionally Cleared,2022-10-14,South
Simple Assault,Exceptionally Cleared,2022-07-16,University City
Simple Assault,Cleared by Arrest,2019-05-14,North
Simple Assault,Cleared by Arrest,2018-12-06,North Tryon
Simple Assault,Cleared by Arrest,2021-02-08,North Tryon
Simple Assault,Cleared by Arrest,2024-05-30,Freedom
Simple Assault,Open,2021-08-09,North Tryon
Simple Assault,Open,2022-08-05,University City
Intimidation,Open,2023-11-30,Providence
Intimidation,Exceptionally Cleared,2024-09-29,Steele Creek
Simple Assault,Cleared by Arrest,2024-05-20,North
Simple Assault,Open,2017-06-06,Metro
Simple Assault,Open,2020-05-06,Eastway
Simple Assault,Cleared by Arrest,2021-02-01,Metro
Simple Assault,Cleared by Arrest,2022-11-13,Independence
Intimidation,Open,2017-07-25,Independence
Simple Assault,Open,2024-10-09,Independence
Intimidation,Open,2018-09-04,Hickory Grove
Intimidation,Open,2017-09-20,Providence
Simple Assault,Open,2017-08-17,Steele Creek
Simple Assault,Cleared by Arrest,2022-06-22,Independence
Simple Assault,Open,2020-11-27,Central
Intimidation,Open,2023-07-30,North
Simple Assault,Open,2024-11-01,Central
Simple Assault,Cleared by Arrest,2021-09-07,Providence
Intimidation,Open,2024-11-16,South
Simple Assault,Exceptionally Cleared,2019-03-14,North Tryon
Simple Assault,Open,2022-10-18,Westover
Simple Assault,Exceptionally Cleared,2022-05-09,North Tryon
Simple Assault,Open,2024-02-03,North Tryon
Simple Assault,Cleared by Arrest,2019-02-22,Freedom
Simple Assault,Open,2019-01-24,Westover
Simple Assault,Open,2021-06-16,North
Simple Assault,Exceptionally Cleared,2024-07-22,Eastway
Intimidation,Open,2018-01-25,Independence
Simple Assault,Cleared by Arrest,2018-09-16,Westover
Simple Assault,Exceptionally Cleared,2023-09-08,Providence
Simple Assault,Cleared by Arrest,2017-01-23,Westover
Intimidation,Open,2019-01-04,Eastway
Simple Assault,Exceptionally Cleared,2018-07-27,Freedom
Simple Assault,Cleared by Arrest,2021-05-05,Westover
Simple Assault,Open,2022-01-10,Metro
Simple Assault,Cleared by Arrest,2021-05-19,Steele Creek
Simple Assault,Cleared by Arrest,2018-10-29,Hickory Grove
Simple Assault,Open,2023-08-28,Central
Simple Assault,Exceptionally Cleared,2020-12-07,Metro
Simple Assault,Cleared by Arrest,2019-10-23,Hickory Grove
Simple Assault,Exceptionally Cleared,2018-03-06,Steele Creek
Intimidation,Open,2018-11-16,University City
Simple Assault,Cleared by Arrest,2017-09-25,Metro
Simple Assault,Cleared by Arrest,2024-05-14,North Tryon
Simple Assault,Cleared by Arrest,2020-03-15,North
Simple Assault,Open,2017-04-15,Providence
Simple Assault,Cleared by Arrest,2018-02-13,Hickory Grove
Intimidation,Open,2019-02-01,Steele Creek
Simple Assault,Open,2022-07-29,Steele Creek
Simple Assault,Cleared by Arrest,2018-04-13,Freedom
Simple Assault,Open,2023-05-22,North Tryon
Simple Assault,Cleared by Arrest,2019-06-01,North
Simple Assault,Exceptionally Cleared,2023-08-12,Hickory Grove
Simple Assault,Open,2020-04-20,Central
Intimidation,Open,2019-12-24,Providence
Simple Assault,Exceptionally Cleared,2019-05-19,Hickory Grove
Simple Assault,Open,2024-06-30,University City
Simple Assault,Exceptionally Cleared,2022-12-26,Eastway
Simple Assault,Open,2024-01-12,University City
Simple Assault,Exceptionally Cleared,2018-01-05,Westover
Intimidation,Open,2024-01-28,University City
Simple Assault,Open,2018-02-01,North Tryon
Simple Assault,Exceptionally Cleared,2018-03-15,South
Simple Assault,Cleared by Arrest,2022-06-20,South
Intimidation,Exceptionally Cleared,2017-07-18,Independence
Simple Assault,Exceptionally Cleared,2020-01-10,North
Simple Assault,Open,2021-01-24,University City
Simple Assault,Cleared by Arrest,2020-10-26,North Tryon
Simple Assault,Open,2023-01-20,Eastway
Simple Assault,Open,2020-07-13,Eastway
Simple Assault,Open,2021-12-13,University City
Intimidation,Open,2024-11-13,Independence
Simple Assault,Open,2019-10-25,Steele Creek
Intimidation,Cleared by Arrest,2017-03-16,Freedom
Simple Assault,Exceptionally Cleared,2022-12-23,Freedom
Simple Assault,Open,2023-12-19,University City
Intimidation,Cleared by Arrest,2018-08-26,Westover
Simple Assault,Exceptionally Cleared,2019-08-01,Metro
Simple Assault,Open,2024-08-21,University City
Intimidation,Open,2024-11-20,Central
Intimidation,Open,2023-07-09,North Tryon
Simple Assault,Exceptionally Cleared,2024-04-26,University City
Simple Assault,Cleared by Arrest,2022-06-05,North Tryon
Simple Assault,Open,2024-08-29,Eastway
Simple Assault,Cleared by Arrest,2021-09-25,Metro
Simple Assault,Cleared by Arrest,2020-11-05,Freedom
Simple Assault,Open,2024-04-18,Central
Simple Assault,Open,2023-01-27,Metro
Simple Assault,Exceptionally Cleared,2019-03-18,Hickory Grove
Intimidation,Cleared by Arrest,2017-08-23,Metro
Simple Assault,Cleared by Arrest,2019-01-28,Independence
Intimidation,Open,2021-07-09,Independence
Simple Assault,Open,2023-10-31,Hickory Grove
Intimidation,Open,2019-05-09,University City
Intimidation,Open,2023-07-26,Independence
Simple Assault,Exceptionally Cleared,2019-06-05,Hickory Grove
Simple Assault,Open,2018-12-08,University City
Intimidation,Open,2017-07-09,Providence
Simple Assault,Exceptionally Cleared,2020-09-09,University City
Simple Assault,Cleared by Arrest,2022-07-03,Central
Simple Assault,Open,2017-08-12,North Tryon
Simple Assault,Open,2021-10-29,North Tryon
Simple Assault,Open,2023-06-21,North Tryon
Simple Assault,Open,2017-10-29,North
Simple Assault,Exceptionally Cleared,2021-08-16,Independence
Simple Assault,Open,2019-11-11,Westover
Simple Assault,Open,2017-08-15,North
Intimidation,Open,2022-08-08,North
Simple Assault,Open,2022-12-12,Westover
Simple Assault,Open,2017-12-21,Freedom
Simple Assault,Open,2017-11-08,North
Simple Assault,Cleared by Arrest,2023-10-13,North Tryon
Simple Assault,Open,2024-05-22,North
Intimidation,Open,2017-03-28,Hickory Grove
Intimidation,Open,2021-05-09,Freedom
Intimidation,Open,2018-12-22,Independence
Simple Assault,Cleared by Arrest by Another Agency,2022-10-08,Freedom
Simple Assault,Cleared by Arrest,2020-02-13,North
Simple Assault,Open,2024-10-14,Providence
Simple Assault,Open,2024-03-08,Steele Creek
Simple Assault,Exceptionally Cleared,2017-08-04,Independence
Simple Assault,Unfounded,2017-05-01,North Tryon
Simple Assault,Open,2023-07-23,Hickory Grove
Simple Assault,Cleared by Arrest,2021-04-29,Freedom
Simple Assault,Cleared by Arrest,2021-05-10,University City
Intimidation,Open,2019-01-05,Metro
Simple Assault,Cleared by Arrest,2023-12-07,Metro
Simple Assault,Open,2023-05-04,Steele Creek
Simple Assault,Exceptionally Cleared,2017-08-22,Metro
Simple Assault,Cleared by Arrest,2018-11-05,University City
Intimidation,Open,2017-01-25,Freedom
Simple Assault,Cleared by Arrest,2019-05-18,South
Simple Assault,Exceptionally Cleared,2021-09-29,Westover
Simple Assault,Exceptionally Cleared,2019-02-06,North Tryon
Simple Assault,Open,2020-10-13,Eastway
Simple Assault,Open,2022-10-29,Providence
Simple Assault,Cleared by Arrest,2017-04-22,Independence
Simple Assault,Cleared by Arrest,2024-03-16,Independence
Simple Assault,Cleared by Arrest,2021-11-02,Steele Creek
Simple Assault,Open,2017-07-24,North Tryon
Intimidation,Exceptionally Cleared,2023-07-10,Metro
Simple Assault,Exceptionally Cleared,2022-04-30,Metro
Simple Assault,Open,2019-11-08,Hickory Grove
Intimidation,Exceptionally Cleared,2019-10-05,Central
Simple Assault,Cleared by Arrest,2021-12-09,University City
Simple Assault,Exceptionally Cleared,2021-09-08,Steele Creek
Simple Assault,Exceptionally Cleared,2019-10-07,Steele Creek
Simple Assault,Cleared by Arrest,2018-01-08,North
Simple Assault,Cleared by Arrest,2019-02-17,Eastway
Intimidation,Open,2023-02-19,Hickory Grove
Intimidation,Exceptionally Cleared,2018-07-24,Eastway
Simple Assault,Exceptionally Cleared,2021-12-16,Steele Creek
Simple Assault,Exceptionally Cleared,2021-12-03,Independence
Intimidation,Exceptionally Cleared,2021-04-02,Steele Creek
Simple Assault,Cleared by Arrest,2019-10-30,Independence
Simple Assault,Open,2022-09-13,North Tryon
Simple Assault,Exceptionally Cleared,2021-11-08,Providence
Simple Assault,Cleared by Arrest,2021-08-11,North Tryon
Simple Assault,Open,2022-09-17,Central
Intimidation,Open,2021-06-02,University City
Intimidation,Exceptionally Cleared,2019-01-05,North Tryon
Simple Assault,Exceptionally Cleared,2020-04-02,Steele Creek
