HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Simple Assault,Open,2024-09-19,Steele Creek
Simple Assault,Exceptionally Cleared,2023-05-20,Providence
Simple Assault,Exceptionally Cleared,2020-06-06,Independence
Simple Assault,Open,2022-12-11,North
Simple Assault,Exceptionally Cleared,2017-07-29,Freedom
Intimidation,Exceptionally Cleared,2022-07-17,Steele Creek
Intimidation,Cleared by Arrest,2017-03-16,Eastway
Intimidation,Open,2020-07-18,Hickory Grove
Simple Assault,Cleared by Arrest,2020-11-06,Westover
Simple Assault,Open,2021-10-22,Steele Creek
Simple Assault,Cleared by Arrest,2019-01-28,Metro
Intimidation,Open,2022-08-23,North Tryon
Simple Assault,Exceptionally Cleared,2018-08-17,Westover
Simple Assault,Exceptionally Cleared,2019-08-25,North Tryon
Simple Assault,Open,2022-03-26,Metro
Simple Assault,Exceptionally Cleared,2018-05-21,Independence
Simple Assault,Open,2024-03-22,Independence
Simple Assault,Cleared by Arrest,2021-05-02,Independence
Intimidation,Open,2024-06-04,South
Simple Assault,Exceptionally Cleared,2024-08-20,Central
Simple Assault,Open,2023-06-24,South
Simple Assault,Open,2018-01-14,North Tryon
Simple Assault,Open,2022-09-15,Freedom
Intimidation,Cleared by Arrest,2021-03-12,Providence
Simple Assault,Open,2019-05-26,Providence
Simple Assault,Open,2022-10-06,North Tryon
Simple Assault,Exceptionally Cleared,2018-12-21,Freedom
Simple Assault,Open,2020-03-21,North Tryon
Simple Assault,Exceptionally Cleared,2018-08-28,Central
Intimidation,Exceptionally Cleared,2018-06-13,Metro
Intimidation,Exceptionally Cleared,2017-09-17,Steele Creek
Intimidation,Open,2019-08-24,Steele Creek
Intimidation,Open,2019-08-22,North
Simple Assault,Cleared by Arrest,2020-05-26,Westover
Intimidation,Open,2024-01-06,Steele Creek
Intimidation,Exceptionally Cleared,2018-12-08,South
Simple Assault,Open,2022-07-09,North
Simple Assault,Open,2020-07-25,Hickory Grove
Intimidation,Open,2023-07-28,North
Simple Assault,Cleared by Arrest,2017-06-17,Metro
Simple Assault,Exceptionally Cleared,2020-05-12,North
Simple Assault,Exceptionally Cleared,2019-10-03,Hickory Grove
Simple Assault,Open,2020-08-04,Metro
Simple Assault,Cleared by Arrest,2018-04-02,Huntersville
Simple Assault,Open,2024-02-02,Hickory Grove
Simple Assault,Exceptionally Cleared,2022-07-30,Independence
Simple Assault,Exceptionally Cleared,2020-01-26,Steele Creek
Simple Assault,Cleared by Arrest,2023-02-19,North
Simple Assault,Open,2024-06-20,Westover
Simple Assault,Cleared by Arrest,2022-05-06,North Tryon
Intimidation,Open,2023-07-15,University City
Simple Assault,Open,2021-08-03,Providence
Simple Assault,Cleared by Arrest,2021-05-09,Providence
Simple Assault,Open,2024-05-20,Metro
Simple Assault,Open,2020-10-14,North
Simple Assault,Open,2023-07-01,Eastway
Simple Assault,Cleared by Arrest,2023-12-31,Central
Simple Assault,Cleared by Arrest,2022-05-14,Eastway
Simple Assault,Exceptionally Cleared,2022-06-02,North
Intimidation,Cleared by Arrest,2021-06-20,University City
Simple Assault,Open,2017-04-08,Steele Creek
Simple Assault,Cleared by Arrest,2021-03-03,South
Simple Assault,Exceptionally Cleared,2019-08-26,Providence
Simple Assault,Open,2017-08-22,Airport
Simple Assault,Open,2019-09-13,Independence
Simple Assault,Cleared by Arrest,2019-08-14,Central
Intimidation,Open,2023-01-14,North Tryon
Simple Assault,Open,2021-08-21,North
Intimidation,Open,2020-12-14,North
Simple Assault,Exceptionally Cleared,2020-12-13,Steele Creek
Intimidation,Exceptionally Cleared,2019-03-29,North
Simple Assault,Open,2017-12-16,Central
Simple Assault,Exceptionally Cleared,2020-07-07,Steele Creek
Simple Assault,Exceptionally Cleared,2017-05-19,Metro
Simple Assault,Cleared by Arrest,2024-07-09,Providence
Intimidation,Cleared by Arrest,2017-08-21,North Tryon
Simple Assault,Exceptionally Cleared,2020-08-07,Freedom
Simple Assault,Exceptionally Cleared,2021-12-11,Steele Creek
Simple Assault,Open,2021-08-13,North Tryon
Simple Assault,Open,2020-08-13,Westover
Intimidation,Exceptionally Cleared,2020-03-02,Steele Creek
Simple Assault,Exceptionally Cleared,2024-01-01,Independence
Simple Assault,Open,2018-09-01,Central
Simple Assault,Exceptionally Cleared,2023-08-02,Metro
Simple Assault,Exceptionally Cleared,2019-06-24,Freedom
Simple Assault,Open,2019-07-05,University City
Simple Assault,Exceptionally Cleared,2022-09-13,Eastway
Simple Assault,Open,2024-03-28,Hickory Grove
Intimidation,Exceptionally Cleared,2022-09-19,North
Intimidation,Exceptionally Cleared,2020-07-29,Independence
Intimidation,Exceptionally Cleared,2023-11-19,Eastway
Intimidation,Open,2019-02-07,South
Simple Assault,Exceptionally Cleared,2020-01-04,Independence
Simple Assault,Open,2023-07-11,Freedom
Simple Assault,Open,2017-10-28,Hickory Grove
Simple Assault,Exceptionally Cleared,2020-07-05,University City
Simple Assault,Cleared by Arrest,2019-05-05,University City
Simple Assault,Exceptionally Cleared,2019-03-03,North
Simple Assault,Open,2018-03-12,South
Simple Assault,Cleared by Arrest,2019-01-22,Steele Creek
Simple Assault,Open,2018-12-16,Steele Creek
Intimidation,Open,2024-01-11,Freedom
Simple Assault,Open,2023-04-23,Freedom
Simple Assault,Exceptionally Cleared,2024-04-25,South
Simple Assault,Open,2024-09-08,South
Intimidation,Open,2024-11-11,Freedom
Simple Assault,Open,2019-11-15,North
Simple Assault,Exceptionally Cleared,2024-09-30,North Tryon
Intimidation,Open,2023-03-12,Central
Simple Assault,Exceptionally Cleared,2022-11-07,North Tryon
Simple Assault,Open,2024-11-03,University City
Intimidation,Exceptionally Cleared,2017-12-28,Providence
Simple Assault,Exceptionally Cleared,2023-11-20,Freedom
Simple Assault,Cleared by Arrest,2023-06-05,Eastway
Simple Assault,Cleared by Arrest,2021-05-24,Providence
